MergeSort, 2, 1, 118, 105, 91
Excel, 8, 6, 3904, 5, 2905
VSCode, 8, 6, 2992, 13, 993
Chrome, 8, 6, 8160, 11, 7661
Spotify, 3, 1, 792, 23, 127
Gaming, 7, 6, 5799, 10, 3800
DeepLearning, 8, 6, 7726, 12, 5727
